cycle,nind,model,pop_init,crash_prop,ts,tl
1,50,2,500,0.1,200,100
11,50,2,500,0.1,200,100
21,50,2,500,0.1,200,100
31,50,2,500,0.1,200,100
41,50,2,500,0.1,200,100
51,50,2,500,0.1,200,100
61,50,2,500,0.1,200,100
71,50,2,500,0.1,200,100
81,50,2,500,0.1,200,100
91,50,2,500,0.1,200,100
101,50,2,500,0.1,200,100
111,50,2,500,0.1,200,100
121,50,2,500,0.1,200,100
131,50,2,500,0.1,200,100
141,50,2,500,0.1,200,100
151,50,2,500,0.1,200,100
161,50,2,500,0.1,200,100
171,50,2,500,0.1,200,100
181,50,2,500,0.1,200,100
191,50,2,500,0.1,200,100
201,50,2,500,0.1,200,100
211,50,2,500,0.1,200,100
221,50,2,500,0.1,200,100
231,50,2,500,0.1,200,100
241,50,2,500,0.1,200,100
251,50,2,500,0.1,200,100
261,50,2,500,0.1,200,100
271,50,2,500,0.1,200,100
281,50,2,500,0.1,200,100
291,50,2,500,0.1,200,100
301,50,2,500,0.1,200,100
311,50,2,500,0.1,200,100
321,50,2,500,0.1,200,100
331,50,2,500,0.1,200,100
341,50,2,500,0.1,200,100
351,50,2,500,0.1,200,100
361,50,2,500,0.1,200,100
371,50,2,500,0.1,200,100
381,50,2,500,0.1,200,100
391,50,2,500,0.1,200,100
401,50,2,500,0.1,200,100
411,50,2,500,0.1,200,100
421,50,2,500,0.1,200,100
431,50,2,500,0.1,200,100
441,50,2,500,0.1,200,100
451,50,2,500,0.1,200,100
461,50,2,500,0.1,200,100
471,50,2,500,0.1,200,100
481,50,2,500,0.1,200,100
491,50,2,500,0.1,200,100
501,50,2,500,0.1,200,100
511,50,2,500,0.1,200,100
521,50,2,500,0.1,200,100
531,50,2,500,0.1,200,100
541,50,2,500,0.1,200,100
551,50,2,500,0.1,200,100
561,50,2,500,0.1,200,100
571,50,2,500,0.1,200,100
581,50,2,500,0.1,200,100
591,50,2,500,0.1,200,100
601,50,2,500,0.1,200,100
611,50,2,500,0.1,200,100
621,50,2,500,0.1,200,100
631,50,2,500,0.1,200,100
641,50,2,500,0.1,200,100
651,50,2,500,0.1,200,100
661,50,2,500,0.1,200,100
671,50,2,500,0.1,200,100
681,50,2,500,0.1,200,100
691,50,2,500,0.1,200,100
701,50,2,500,0.1,200,100
711,50,2,500,0.1,200,100
721,50,2,500,0.1,200,100
731,50,2,500,0.1,200,100
741,50,2,500,0.1,200,100
751,50,2,500,0.1,200,100
761,50,2,500,0.1,200,100
771,50,2,500,0.1,200,100
781,50,2,500,0.1,200,100
791,50,2,500,0.1,200,100
801,50,2,500,0.1,200,100
811,50,2,500,0.1,200,100
821,50,2,500,0.1,200,100
831,50,2,500,0.1,200,100
841,50,2,500,0.1,200,100
851,50,2,500,0.1,200,100
861,50,2,500,0.1,200,100
871,50,2,500,0.1,200,100
881,50,2,500,0.1,200,100
891,50,2,500,0.1,200,100
901,50,2,500,0.1,200,100
911,50,2,500,0.1,200,100
921,50,2,500,0.1,200,100
931,50,2,500,0.1,200,100
941,50,2,500,0.1,200,100
951,50,2,500,0.1,200,100
961,50,2,500,0.1,200,100
971,50,2,500,0.1,200,100
981,50,2,500,0.1,200,100
991,50,2,500,0.1,200,100
1001,50,2,500,0.1,200,100
1011,63,2,500,0.1,200,100
1021,79,2,500,0.1,200,100
1031,100,2,500,0.1,200,100
1041,126,2,500,0.1,200,100
1051,158,2,500,0.1,200,100
1061,199,2,500,0.1,200,100
1071,251,2,500,0.1,200,100
1081,315,2,500,0.1,200,100
1091,397,2,500,0.1,200,100
1101,500,2,500,0.1,200,100
1111,500,2,500,0.1,200,100
1121,500,2,500,0.1,200,100
1131,500,2,500,0.1,200,100
1141,500,2,500,0.1,200,100
1151,500,2,500,0.1,200,100
1161,500,2,500,0.1,200,100
1171,500,2,500,0.1,200,100
1181,500,2,500,0.1,200,100
1191,500,2,500,0.1,200,100
