cycle,nind,model,pop_init,crash_prop,ts,tl,ss
1,250,2,500,0.5,200,100,30
11,250,2,500,0.5,200,100,30
21,250,2,500,0.5,200,100,30
31,250,2,500,0.5,200,100,30
41,250,2,500,0.5,200,100,30
51,250,2,500,0.5,200,100,30
61,250,2,500,0.5,200,100,30
71,250,2,500,0.5,200,100,30
81,250,2,500,0.5,200,100,30
91,250,2,500,0.5,200,100,30
101,250,2,500,0.5,200,100,30
111,250,2,500,0.5,200,100,30
121,250,2,500,0.5,200,100,30
131,250,2,500,0.5,200,100,30
141,250,2,500,0.5,200,100,30
151,250,2,500,0.5,200,100,30
161,250,2,500,0.5,200,100,30
171,250,2,500,0.5,200,100,30
181,250,2,500,0.5,200,100,30
191,250,2,500,0.5,200,100,30
201,250,2,500,0.5,200,100,30
211,250,2,500,0.5,200,100,30
221,250,2,500,0.5,200,100,30
231,250,2,500,0.5,200,100,30
241,250,2,500,0.5,200,100,30
251,250,2,500,0.5,200,100,30
261,250,2,500,0.5,200,100,30
271,250,2,500,0.5,200,100,30
281,250,2,500,0.5,200,100,30
291,250,2,500,0.5,200,100,30
301,250,2,500,0.5,200,100,30
311,250,2,500,0.5,200,100,30
321,250,2,500,0.5,200,100,30
331,250,2,500,0.5,200,100,30
341,250,2,500,0.5,200,100,30
351,250,2,500,0.5,200,100,30
361,250,2,500,0.5,200,100,30
371,250,2,500,0.5,200,100,30
381,250,2,500,0.5,200,100,30
391,250,2,500,0.5,200,100,30
401,250,2,500,0.5,200,100,30
411,250,2,500,0.5,200,100,30
421,250,2,500,0.5,200,100,30
431,250,2,500,0.5,200,100,30
441,250,2,500,0.5,200,100,30
451,250,2,500,0.5,200,100,30
461,250,2,500,0.5,200,100,30
471,250,2,500,0.5,200,100,30
481,250,2,500,0.5,200,100,30
491,250,2,500,0.5,200,100,30
501,250,2,500,0.5,200,100,30
511,250,2,500,0.5,200,100,30
521,250,2,500,0.5,200,100,30
531,250,2,500,0.5,200,100,30
541,250,2,500,0.5,200,100,30
551,250,2,500,0.5,200,100,30
561,250,2,500,0.5,200,100,30
571,250,2,500,0.5,200,100,30
581,250,2,500,0.5,200,100,30
591,250,2,500,0.5,200,100,30
601,250,2,500,0.5,200,100,30
611,250,2,500,0.5,200,100,30
621,250,2,500,0.5,200,100,30
631,250,2,500,0.5,200,100,30
641,250,2,500,0.5,200,100,30
651,250,2,500,0.5,200,100,30
661,250,2,500,0.5,200,100,30
671,250,2,500,0.5,200,100,30
681,250,2,500,0.5,200,100,30
691,250,2,500,0.5,200,100,30
701,250,2,500,0.5,200,100,30
711,250,2,500,0.5,200,100,30
721,250,2,500,0.5,200,100,30
731,250,2,500,0.5,200,100,30
741,250,2,500,0.5,200,100,30
751,250,2,500,0.5,200,100,30
761,250,2,500,0.5,200,100,30
771,250,2,500,0.5,200,100,30
781,250,2,500,0.5,200,100,30
791,250,2,500,0.5,200,100,30
801,250,2,500,0.5,200,100,30
811,250,2,500,0.5,200,100,30
821,250,2,500,0.5,200,100,30
831,250,2,500,0.5,200,100,30
841,250,2,500,0.5,200,100,30
851,250,2,500,0.5,200,100,30
861,250,2,500,0.5,200,100,30
871,250,2,500,0.5,200,100,30
881,250,2,500,0.5,200,100,30
891,250,2,500,0.5,200,100,30
901,250,2,500,0.5,200,100,30
911,250,2,500,0.5,200,100,30
921,250,2,500,0.5,200,100,30
931,250,2,500,0.5,200,100,30
941,250,2,500,0.5,200,100,30
951,250,2,500,0.5,200,100,30
961,250,2,500,0.5,200,100,30
971,250,2,500,0.5,200,100,30
981,250,2,500,0.5,200,100,30
991,250,2,500,0.5,200,100,30
1001,250,2,500,0.5,200,100,30
1011,268,2,500,0.5,200,100,30
1021,287,2,500,0.5,200,100,30
1031,308,2,500,0.5,200,100,30
1041,330,2,500,0.5,200,100,30
1051,354,2,500,0.5,200,100,30
1061,379,2,500,0.5,200,100,30
1071,406,2,500,0.5,200,100,30
1081,435,2,500,0.5,200,100,30
1091,467,2,500,0.5,200,100,30
1101,500,2,500,0.5,200,100,30
1111,500,2,500,0.5,200,100,30
1121,500,2,500,0.5,200,100,30
1131,500,2,500,0.5,200,100,30
1141,500,2,500,0.5,200,100,30
1151,500,2,500,0.5,200,100,30
1161,500,2,500,0.5,200,100,30
1171,500,2,500,0.5,200,100,30
1181,500,2,500,0.5,200,100,30
1191,500,2,500,0.5,200,100,30
