cycle,nind,model,pop_init,crash_prop,ts,tl
1,250,2,500,0.5,200,100
151,250,2,500,0.5,200,100
11,250,2,500,0.5,200,100
21,250,2,500,0.5,200,100
31,250,2,500,0.5,200,100
161,250,2,500,0.5,200,100
41,250,2,500,0.5,200,100
51,250,2,500,0.5,200,100
171,250,2,500,0.5,200,100
61,250,2,500,0.5,200,100
71,250,2,500,0.5,200,100
181,250,2,500,0.5,200,100
81,250,2,500,0.5,200,100
191,250,2,500,0.5,200,100
91,250,2,500,0.5,200,100
101,250,2,500,0.5,200,100
201,250,2,500,0.5,200,100
111,250,2,500,0.5,200,100
121,250,2,500,0.5,200,100
211,250,2,500,0.5,200,100
131,250,2,500,0.5,200,100
221,250,2,500,0.5,200,100
141,250,2,500,0.5,200,100
151,250,2,500,0.5,200,100
231,250,2,500,0.5,200,100
161,250,2,500,0.5,200,100
241,250,2,500,0.5,200,100
171,250,2,500,0.5,200,100
251,250,2,500,0.5,200,100
181,250,2,500,0.5,200,100
191,250,2,500,0.5,200,100
261,250,2,500,0.5,200,100
201,250,2,500,0.5,200,100
271,250,2,500,0.5,200,100
211,250,2,500,0.5,200,100
281,250,2,500,0.5,200,100
221,250,2,500,0.5,200,100
291,250,2,500,0.5,200,100
231,250,2,500,0.5,200,100
241,250,2,500,0.5,200,100
301,250,2,500,0.5,200,100
251,250,2,500,0.5,200,100
311,250,2,500,0.5,200,100
261,250,2,500,0.5,200,100
321,250,2,500,0.5,200,100
271,250,2,500,0.5,200,100
331,250,2,500,0.5,200,100
281,250,2,500,0.5,200,100
341,250,2,500,0.5,200,100
291,250,2,500,0.5,200,100
351,250,2,500,0.5,200,100
301,250,2,500,0.5,200,100
361,250,2,500,0.5,200,100
311,250,2,500,0.5,200,100
371,250,2,500,0.5,200,100
321,250,2,500,0.5,200,100
381,250,2,500,0.5,200,100
331,250,2,500,0.5,200,100
391,250,2,500,0.5,200,100
341,250,2,500,0.5,200,100
401,250,2,500,0.5,200,100
351,250,2,500,0.5,200,100
361,250,2,500,0.5,200,100
411,250,2,500,0.5,200,100
371,250,2,500,0.5,200,100
421,250,2,500,0.5,200,100
381,250,2,500,0.5,200,100
431,250,2,500,0.5,200,100
391,250,2,500,0.5,200,100
441,250,2,500,0.5,200,100
401,250,2,500,0.5,200,100
451,250,2,500,0.5,200,100
411,250,2,500,0.5,200,100
461,250,2,500,0.5,200,100
421,250,2,500,0.5,200,100
471,250,2,500,0.5,200,100
431,250,2,500,0.5,200,100
481,250,2,500,0.5,200,100
441,250,2,500,0.5,200,100
491,250,2,500,0.5,200,100
451,250,2,500,0.5,200,100
461,250,2,500,0.5,200,100
501,250,2,500,0.5,200,100
471,250,2,500,0.5,200,100
511,250,2,500,0.5,200,100
481,250,2,500,0.5,200,100
521,250,2,500,0.5,200,100
491,250,2,500,0.5,200,100
531,250,2,500,0.5,200,100
501,250,2,500,0.5,200,100
541,250,2,500,0.5,200,100
511,250,2,500,0.5,200,100
551,250,2,500,0.5,200,100
521,250,2,500,0.5,200,100
561,250,2,500,0.5,200,100
531,250,2,500,0.5,200,100
571,250,2,500,0.5,200,100
541,250,2,500,0.5,200,100
581,250,2,500,0.5,200,100
551,250,2,500,0.5,200,100
591,250,2,500,0.5,200,100
561,250,2,500,0.5,200,100
601,250,2,500,0.5,200,100
571,250,2,500,0.5,200,100
611,250,2,500,0.5,200,100
581,250,2,500,0.5,200,100
621,250,2,500,0.5,200,100
591,250,2,500,0.5,200,100
631,250,2,500,0.5,200,100
601,250,2,500,0.5,200,100
641,250,2,500,0.5,200,100
611,250,2,500,0.5,200,100
651,250,2,500,0.5,200,100
621,250,2,500,0.5,200,100
661,250,2,500,0.5,200,100
631,250,2,500,0.5,200,100
671,250,2,500,0.5,200,100
641,250,2,500,0.5,200,100
681,250,2,500,0.5,200,100
651,250,2,500,0.5,200,100
691,250,2,500,0.5,200,100
661,250,2,500,0.5,200,100
701,250,2,500,0.5,200,100
671,250,2,500,0.5,200,100
711,250,2,500,0.5,200,100
681,250,2,500,0.5,200,100
721,250,2,500,0.5,200,100
691,250,2,500,0.5,200,100
731,250,2,500,0.5,200,100
701,250,2,500,0.5,200,100
741,250,2,500,0.5,200,100
711,250,2,500,0.5,200,100
751,250,2,500,0.5,200,100
721,250,2,500,0.5,200,100
761,250,2,500,0.5,200,100
731,250,2,500,0.5,200,100
771,250,2,500,0.5,200,100
741,250,2,500,0.5,200,100
781,250,2,500,0.5,200,100
751,250,2,500,0.5,200,100
791,250,2,500,0.5,200,100
761,250,2,500,0.5,200,100
801,250,2,500,0.5,200,100
771,250,2,500,0.5,200,100
811,250,2,500,0.5,200,100
781,250,2,500,0.5,200,100
821,250,2,500,0.5,200,100
791,250,2,500,0.5,200,100
831,250,2,500,0.5,200,100
841,250,2,500,0.5,200,100
801,250,2,500,0.5,200,100
811,250,2,500,0.5,200,100
851,250,2,500,0.5,200,100
861,250,2,500,0.5,200,100
821,250,2,500,0.5,200,100
871,250,2,500,0.5,200,100
831,250,2,500,0.5,200,100
881,250,2,500,0.5,200,100
841,250,2,500,0.5,200,100
891,250,2,500,0.5,200,100
851,250,2,500,0.5,200,100
901,250,2,500,0.5,200,100
861,250,2,500,0.5,200,100
911,250,2,500,0.5,200,100
871,250,2,500,0.5,200,100
921,250,2,500,0.5,200,100
881,250,2,500,0.5,200,100
931,250,2,500,0.5,200,100
891,250,2,500,0.5,200,100
941,250,2,500,0.5,200,100
901,250,2,500,0.5,200,100
951,250,2,500,0.5,200,100
961,250,2,500,0.5,200,100
911,250,2,500,0.5,200,100
971,250,2,500,0.5,200,100
981,250,2,500,0.5,200,100
921,250,2,500,0.5,200,100
991,250,2,500,0.5,200,100
931,250,2,500,0.5,200,100
1001,250,2,500,0.5,200,100
1011,268,2,500,0.5,200,100
941,250,2,500,0.5,200,100
1021,287,2,500,0.5,200,100
1031,308,2,500,0.5,200,100
951,250,2,500,0.5,200,100
1041,330,2,500,0.5,200,100
961,250,2,500,0.5,200,100
1051,354,2,500,0.5,200,100
971,250,2,500,0.5,200,100
1061,379,2,500,0.5,200,100
981,250,2,500,0.5,200,100
1071,406,2,500,0.5,200,100
991,250,2,500,0.5,200,100
1081,435,2,500,0.5,200,100
1001,250,2,500,0.5,200,100
1091,467,2,500,0.5,200,100
1011,268,2,500,0.5,200,100
1101,500,2,500,0.5,200,100
1021,287,2,500,0.5,200,100
1111,500,2,500,0.5,200,100
1031,308,2,500,0.5,200,100
1121,500,2,500,0.5,200,100
1041,330,2,500,0.5,200,100
1131,500,2,500,0.5,200,100
1051,354,2,500,0.5,200,100
1141,500,2,500,0.5,200,100
1061,379,2,500,0.5,200,100
1151,500,2,500,0.5,200,100
1071,406,2,500,0.5,200,100
1161,500,2,500,0.5,200,100
1171,500,2,500,0.5,200,100
1081,435,2,500,0.5,200,100
1181,500,2,500,0.5,200,100
1091,467,2,500,0.5,200,100
1191,500,2,500,0.5,200,100
1101,500,2,500,0.5,200,100
1111,500,2,500,0.5,200,100
1121,500,2,500,0.5,200,100
1131,500,2,500,0.5,200,100
1141,500,2,500,0.5,200,100
1151,500,2,500,0.5,200,100
1161,500,2,500,0.5,200,100
1171,500,2,500,0.5,200,100
1181,500,2,500,0.5,200,100
1191,500,2,500,0.5,200,100
