cycle,nind,model,pop_init,crash_prop,ts,tl
1,20,2,200,0.1,200,100
11,20,2,200,0.1,200,100
21,20,2,200,0.1,200,100
31,20,2,200,0.1,200,100
41,20,2,200,0.1,200,100
51,20,2,200,0.1,200,100
61,20,2,200,0.1,200,100
71,20,2,200,0.1,200,100
81,20,2,200,0.1,200,100
91,20,2,200,0.1,200,100
101,20,2,200,0.1,200,100
111,20,2,200,0.1,200,100
121,20,2,200,0.1,200,100
131,20,2,200,0.1,200,100
141,20,2,200,0.1,200,100
151,20,2,200,0.1,200,100
161,20,2,200,0.1,200,100
171,20,2,200,0.1,200,100
181,20,2,200,0.1,200,100
191,20,2,200,0.1,200,100
201,20,2,200,0.1,200,100
211,20,2,200,0.1,200,100
221,20,2,200,0.1,200,100
231,20,2,200,0.1,200,100
241,20,2,200,0.1,200,100
251,20,2,200,0.1,200,100
261,20,2,200,0.1,200,100
271,20,2,200,0.1,200,100
281,20,2,200,0.1,200,100
291,20,2,200,0.1,200,100
301,20,2,200,0.1,200,100
311,20,2,200,0.1,200,100
321,20,2,200,0.1,200,100
331,20,2,200,0.1,200,100
341,20,2,200,0.1,200,100
351,20,2,200,0.1,200,100
361,20,2,200,0.1,200,100
371,20,2,200,0.1,200,100
381,20,2,200,0.1,200,100
391,20,2,200,0.1,200,100
401,20,2,200,0.1,200,100
411,20,2,200,0.1,200,100
421,20,2,200,0.1,200,100
431,20,2,200,0.1,200,100
441,20,2,200,0.1,200,100
451,20,2,200,0.1,200,100
461,20,2,200,0.1,200,100
471,20,2,200,0.1,200,100
481,20,2,200,0.1,200,100
491,20,2,200,0.1,200,100
501,20,2,200,0.1,200,100
511,20,2,200,0.1,200,100
521,20,2,200,0.1,200,100
531,20,2,200,0.1,200,100
541,20,2,200,0.1,200,100
551,20,2,200,0.1,200,100
561,20,2,200,0.1,200,100
571,20,2,200,0.1,200,100
581,20,2,200,0.1,200,100
591,20,2,200,0.1,200,100
601,20,2,200,0.1,200,100
611,20,2,200,0.1,200,100
621,20,2,200,0.1,200,100
631,20,2,200,0.1,200,100
641,20,2,200,0.1,200,100
651,20,2,200,0.1,200,100
661,20,2,200,0.1,200,100
671,20,2,200,0.1,200,100
681,20,2,200,0.1,200,100
691,20,2,200,0.1,200,100
701,20,2,200,0.1,200,100
711,20,2,200,0.1,200,100
721,20,2,200,0.1,200,100
731,20,2,200,0.1,200,100
741,20,2,200,0.1,200,100
751,20,2,200,0.1,200,100
761,20,2,200,0.1,200,100
771,20,2,200,0.1,200,100
781,20,2,200,0.1,200,100
791,20,2,200,0.1,200,100
801,20,2,200,0.1,200,100
811,20,2,200,0.1,200,100
821,20,2,200,0.1,200,100
831,20,2,200,0.1,200,100
841,20,2,200,0.1,200,100
851,20,2,200,0.1,200,100
861,20,2,200,0.1,200,100
871,20,2,200,0.1,200,100
881,20,2,200,0.1,200,100
891,20,2,200,0.1,200,100
901,20,2,200,0.1,200,100
911,20,2,200,0.1,200,100
921,20,2,200,0.1,200,100
931,20,2,200,0.1,200,100
941,20,2,200,0.1,200,100
951,20,2,200,0.1,200,100
961,20,2,200,0.1,200,100
971,20,2,200,0.1,200,100
981,20,2,200,0.1,200,100
991,20,2,200,0.1,200,100
1001,20,2,200,0.1,200,100
1011,25,2,200,0.1,200,100
1021,32,2,200,0.1,200,100
1031,40,2,200,0.1,200,100
1041,50,2,200,0.1,200,100
1051,63,2,200,0.1,200,100
1061,80,2,200,0.1,200,100
1071,100,2,200,0.1,200,100
1081,126,2,200,0.1,200,100
1091,159,2,200,0.1,200,100
1101,200,2,200,0.1,200,100
1111,200,2,200,0.1,200,100
1121,200,2,200,0.1,200,100
1131,200,2,200,0.1,200,100
1141,200,2,200,0.1,200,100
1151,200,2,200,0.1,200,100
1161,200,2,200,0.1,200,100
1171,200,2,200,0.1,200,100
1181,200,2,200,0.1,200,100
1191,200,2,200,0.1,200,100
