cycle,nind,model,pop_init,crash_prop,ts,tl
1,500,1,500,0.5,200,100
11,500,1,500,0.5,200,100
11,500,1,500,0.5,200,100
21,500,1,500,0.5,200,100
21,500,1,500,0.5,200,100
31,500,1,500,0.5,200,100
31,500,1,500,0.5,200,100
41,500,1,500,0.5,200,100
41,500,1,500,0.5,200,100
51,500,1,500,0.5,200,100
51,500,1,500,0.5,200,100
61,500,1,500,0.5,200,100
61,500,1,500,0.5,200,100
71,500,1,500,0.5,200,100
71,500,1,500,0.5,200,100
81,500,1,500,0.5,200,100
81,500,1,500,0.5,200,100
91,500,1,500,0.5,200,100
91,500,1,500,0.5,200,100
101,500,1,500,0.5,200,100
101,500,1,500,0.5,200,100
111,500,1,500,0.5,200,100
111,500,1,500,0.5,200,100
121,500,1,500,0.5,200,100
131,500,1,500,0.5,200,100
121,500,1,500,0.5,200,100
141,500,1,500,0.5,200,100
131,500,1,500,0.5,200,100
151,500,1,500,0.5,200,100
141,500,1,500,0.5,200,100
161,500,1,500,0.5,200,100
151,500,1,500,0.5,200,100
171,500,1,500,0.5,200,100
181,500,1,500,0.5,200,100
161,500,1,500,0.5,200,100
191,500,1,500,0.5,200,100
171,500,1,500,0.5,200,100
201,500,1,500,0.5,200,100
181,500,1,500,0.5,200,100
211,500,1,500,0.5,200,100
221,500,1,500,0.5,200,100
191,500,1,500,0.5,200,100
231,500,1,500,0.5,200,100
201,500,1,500,0.5,200,100
241,500,1,500,0.5,200,100
211,500,1,500,0.5,200,100
251,500,1,500,0.5,200,100
221,500,1,500,0.5,200,100
261,500,1,500,0.5,200,100
271,500,1,500,0.5,200,100
231,500,1,500,0.5,200,100
281,500,1,500,0.5,200,100
241,500,1,500,0.5,200,100
291,500,1,500,0.5,200,100
251,500,1,500,0.5,200,100
301,500,1,500,0.5,200,100
261,500,1,500,0.5,200,100
311,500,1,500,0.5,200,100
321,500,1,500,0.5,200,100
271,500,1,500,0.5,200,100
331,500,1,500,0.5,200,100
281,500,1,500,0.5,200,100
341,500,1,500,0.5,200,100
291,500,1,500,0.5,200,100
351,500,1,500,0.5,200,100
301,500,1,500,0.5,200,100
361,500,1,500,0.5,200,100
311,500,1,500,0.5,200,100
371,500,1,500,0.5,200,100
381,500,1,500,0.5,200,100
321,500,1,500,0.5,200,100
391,500,1,500,0.5,200,100
331,500,1,500,0.5,200,100
401,500,1,500,0.5,200,100
341,500,1,500,0.5,200,100
411,500,1,500,0.5,200,100
351,500,1,500,0.5,200,100
421,500,1,500,0.5,200,100
431,500,1,500,0.5,200,100
361,500,1,500,0.5,200,100
441,500,1,500,0.5,200,100
371,500,1,500,0.5,200,100
451,500,1,500,0.5,200,100
381,500,1,500,0.5,200,100
461,500,1,500,0.5,200,100
391,500,1,500,0.5,200,100
471,500,1,500,0.5,200,100
481,500,1,500,0.5,200,100
401,500,1,500,0.5,200,100
491,500,1,500,0.5,200,100
411,500,1,500,0.5,200,100
501,500,1,500,0.5,200,100
421,500,1,500,0.5,200,100
511,500,1,500,0.5,200,100
431,500,1,500,0.5,200,100
521,500,1,500,0.5,200,100
441,500,1,500,0.5,200,100
531,500,1,500,0.5,200,100
541,500,1,500,0.5,200,100
451,500,1,500,0.5,200,100
551,500,1,500,0.5,200,100
461,500,1,500,0.5,200,100
561,500,1,500,0.5,200,100
471,500,1,500,0.5,200,100
571,500,1,500,0.5,200,100
581,500,1,500,0.5,200,100
481,500,1,500,0.5,200,100
591,500,1,500,0.5,200,100
491,500,1,500,0.5,200,100
601,500,1,500,0.5,200,100
501,500,1,500,0.5,200,100
611,500,1,500,0.5,200,100
621,500,1,500,0.5,200,100
511,500,1,500,0.5,200,100
631,500,1,500,0.5,200,100
521,500,1,500,0.5,200,100
641,500,1,500,0.5,200,100
651,500,1,500,0.5,200,100
531,500,1,500,0.5,200,100
661,500,1,500,0.5,200,100
541,500,1,500,0.5,200,100
671,500,1,500,0.5,200,100
551,500,1,500,0.5,200,100
681,500,1,500,0.5,200,100
691,500,1,500,0.5,200,100
561,500,1,500,0.5,200,100
701,500,1,500,0.5,200,100
571,500,1,500,0.5,200,100
711,500,1,500,0.5,200,100
581,500,1,500,0.5,200,100
721,500,1,500,0.5,200,100
731,500,1,500,0.5,200,100
591,500,1,500,0.5,200,100
741,500,1,500,0.5,200,100
601,500,1,500,0.5,200,100
751,500,1,500,0.5,200,100
611,500,1,500,0.5,200,100
761,500,1,500,0.5,200,100
771,500,1,500,0.5,200,100
621,500,1,500,0.5,200,100
781,500,1,500,0.5,200,100
631,500,1,500,0.5,200,100
791,500,1,500,0.5,200,100
641,500,1,500,0.5,200,100
801,500,1,500,0.5,200,100
651,500,1,500,0.5,200,100
811,500,1,500,0.5,200,100
821,500,1,500,0.5,200,100
661,500,1,500,0.5,200,100
831,500,1,500,0.5,200,100
671,500,1,500,0.5,200,100
841,500,1,500,0.5,200,100
851,500,1,500,0.5,200,100
681,500,1,500,0.5,200,100
861,500,1,500,0.5,200,100
691,500,1,500,0.5,200,100
871,500,1,500,0.5,200,100
881,500,1,500,0.5,200,100
701,500,1,500,0.5,200,100
891,500,1,500,0.5,200,100
711,500,1,500,0.5,200,100
901,500,1,500,0.5,200,100
721,500,1,500,0.5,200,100
911,500,1,500,0.5,200,100
921,500,1,500,0.5,200,100
731,500,1,500,0.5,200,100
931,500,1,500,0.5,200,100
741,500,1,500,0.5,200,100
941,500,1,500,0.5,200,100
951,500,1,500,0.5,200,100
751,500,1,500,0.5,200,100
961,500,1,500,0.5,200,100
761,500,1,500,0.5,200,100
971,500,1,500,0.5,200,100
981,500,1,500,0.5,200,100
771,500,1,500,0.5,200,100
991,500,1,500,0.5,200,100
1001,500,1,500,0.5,200,100
781,500,1,500,0.5,200,100
1011,394,1,500,0.5,200,100
1021,333,1,500,0.5,200,100
791,500,1,500,0.5,200,100
1031,298,1,500,0.5,200,100
1041,277,1,500,0.5,200,100
1051,266,1,500,0.5,200,100
1061,259,1,500,0.5,200,100
801,500,1,500,0.5,200,100
1071,255,1,500,0.5,200,100
1081,253,1,500,0.5,200,100
1091,252,1,500,0.5,200,100
1101,251,1,500,0.5,200,100
1111,251,1,500,0.5,200,100
811,500,1,500,0.5,200,100
1121,250,1,500,0.5,200,100
1131,250,1,500,0.5,200,100
1141,250,1,500,0.5,200,100
1151,250,1,500,0.5,200,100
821,500,1,500,0.5,200,100
1161,250,1,500,0.5,200,100
1171,250,1,500,0.5,200,100
1181,250,1,500,0.5,200,100
1191,250,1,500,0.5,200,100
831,500,1,500,0.5,200,100
841,500,1,500,0.5,200,100
851,500,1,500,0.5,200,100
861,500,1,500,0.5,200,100
871,500,1,500,0.5,200,100
881,500,1,500,0.5,200,100
891,500,1,500,0.5,200,100
901,500,1,500,0.5,200,100
911,500,1,500,0.5,200,100
921,500,1,500,0.5,200,100
931,500,1,500,0.5,200,100
941,500,1,500,0.5,200,100
951,500,1,500,0.5,200,100
961,500,1,500,0.5,200,100
971,500,1,500,0.5,200,100
981,500,1,500,0.5,200,100
991,500,1,500,0.5,200,100
1001,500,1,500,0.5,200,100
1011,394,1,500,0.5,200,100
1021,333,1,500,0.5,200,100
1031,298,1,500,0.5,200,100
1041,277,1,500,0.5,200,100
1051,266,1,500,0.5,200,100
1061,259,1,500,0.5,200,100
1071,255,1,500,0.5,200,100
1081,253,1,500,0.5,200,100
1091,252,1,500,0.5,200,100
1101,251,1,500,0.5,200,100
1111,251,1,500,0.5,200,100
1121,250,1,500,0.5,200,100
1131,250,1,500,0.5,200,100
1141,250,1,500,0.5,200,100
1151,250,1,500,0.5,200,100
1161,250,1,500,0.5,200,100
1171,250,1,500,0.5,200,100
1181,250,1,500,0.5,200,100
1191,250,1,500,0.5,200,100
