cycle,nind,model,pop_init,crash_prop,ts,tl
1,200,3,200,0.5,200,100
11,200,3,200,0.5,200,100
21,200,3,200,0.5,200,100
31,200,3,200,0.5,200,100
41,200,3,200,0.5,200,100
51,200,3,200,0.5,200,100
61,200,3,200,0.5,200,100
71,200,3,200,0.5,200,100
81,200,3,200,0.5,200,100
91,200,3,200,0.5,200,100
101,200,3,200,0.5,200,100
111,200,3,200,0.5,200,100
121,200,3,200,0.5,200,100
131,200,3,200,0.5,200,100
141,200,3,200,0.5,200,100
151,200,3,200,0.5,200,100
161,200,3,200,0.5,200,100
171,200,3,200,0.5,200,100
181,200,3,200,0.5,200,100
191,200,3,200,0.5,200,100
201,200,3,200,0.5,200,100
211,200,3,200,0.5,200,100
221,200,3,200,0.5,200,100
231,200,3,200,0.5,200,100
241,200,3,200,0.5,200,100
251,200,3,200,0.5,200,100
261,200,3,200,0.5,200,100
271,200,3,200,0.5,200,100
281,200,3,200,0.5,200,100
291,200,3,200,0.5,200,100
301,200,3,200,0.5,200,100
311,200,3,200,0.5,200,100
321,200,3,200,0.5,200,100
331,200,3,200,0.5,200,100
341,200,3,200,0.5,200,100
351,200,3,200,0.5,200,100
361,200,3,200,0.5,200,100
371,200,3,200,0.5,200,100
381,200,3,200,0.5,200,100
391,200,3,200,0.5,200,100
401,200,3,200,0.5,200,100
411,200,3,200,0.5,200,100
421,200,3,200,0.5,200,100
431,200,3,200,0.5,200,100
441,200,3,200,0.5,200,100
451,200,3,200,0.5,200,100
461,200,3,200,0.5,200,100
471,200,3,200,0.5,200,100
481,200,3,200,0.5,200,100
491,200,3,200,0.5,200,100
501,200,3,200,0.5,200,100
511,200,3,200,0.5,200,100
521,200,3,200,0.5,200,100
531,200,3,200,0.5,200,100
541,200,3,200,0.5,200,100
551,200,3,200,0.5,200,100
561,200,3,200,0.5,200,100
571,200,3,200,0.5,200,100
581,200,3,200,0.5,200,100
591,200,3,200,0.5,200,100
601,200,3,200,0.5,200,100
611,200,3,200,0.5,200,100
621,200,3,200,0.5,200,100
631,200,3,200,0.5,200,100
641,200,3,200,0.5,200,100
651,200,3,200,0.5,200,100
661,200,3,200,0.5,200,100
671,200,3,200,0.5,200,100
681,200,3,200,0.5,200,100
691,200,3,200,0.5,200,100
701,200,3,200,0.5,200,100
711,200,3,200,0.5,200,100
721,200,3,200,0.5,200,100
731,200,3,200,0.5,200,100
741,200,3,200,0.5,200,100
751,200,3,200,0.5,200,100
761,200,3,200,0.5,200,100
771,200,3,200,0.5,200,100
781,200,3,200,0.5,200,100
791,200,3,200,0.5,200,100
801,200,3,200,0.5,200,100
811,200,3,200,0.5,200,100
821,200,3,200,0.5,200,100
831,200,3,200,0.5,200,100
841,200,3,200,0.5,200,100
851,200,3,200,0.5,200,100
861,200,3,200,0.5,200,100
871,200,3,200,0.5,200,100
881,200,3,200,0.5,200,100
891,200,3,200,0.5,200,100
901,200,3,200,0.5,200,100
911,200,3,200,0.5,200,100
921,200,3,200,0.5,200,100
931,200,3,200,0.5,200,100
941,200,3,200,0.5,200,100
951,200,3,200,0.5,200,100
961,200,3,200,0.5,200,100
971,200,3,200,0.5,200,100
981,200,3,200,0.5,200,100
991,200,3,200,0.5,200,100
1001,200,3,200,0.5,200,100
1011,102,3,200,0.5,200,100
1021,181,3,200,0.5,200,100
1031,199,3,200,0.5,200,100
1041,199,3,200,0.5,200,100
1051,200,3,200,0.5,200,100
1061,200,3,200,0.5,200,100
1071,200,3,200,0.5,200,100
1081,200,3,200,0.5,200,100
1091,200,3,200,0.5,200,100
1101,200,3,200,0.5,200,100
1111,200,3,200,0.5,200,100
1121,200,3,200,0.5,200,100
1131,200,3,200,0.5,200,100
1141,200,3,200,0.5,200,100
1151,200,3,200,0.5,200,100
1161,200,3,200,0.5,200,100
1171,200,3,200,0.5,200,100
1181,200,3,200,0.5,200,100
1191,200,3,200,0.5,200,100
