cycle,nind,model,pop_init,crash_prop,ts,tl,ss
1,250,2,500,0.5,200,100,50
11,250,2,500,0.5,200,100,50
21,250,2,500,0.5,200,100,50
31,250,2,500,0.5,200,100,50
41,250,2,500,0.5,200,100,50
51,250,2,500,0.5,200,100,50
61,250,2,500,0.5,200,100,50
71,250,2,500,0.5,200,100,50
81,250,2,500,0.5,200,100,50
91,250,2,500,0.5,200,100,50
101,250,2,500,0.5,200,100,50
111,250,2,500,0.5,200,100,50
121,250,2,500,0.5,200,100,50
131,250,2,500,0.5,200,100,50
141,250,2,500,0.5,200,100,50
151,250,2,500,0.5,200,100,50
161,250,2,500,0.5,200,100,50
171,250,2,500,0.5,200,100,50
181,250,2,500,0.5,200,100,50
191,250,2,500,0.5,200,100,50
201,250,2,500,0.5,200,100,50
211,250,2,500,0.5,200,100,50
221,250,2,500,0.5,200,100,50
231,250,2,500,0.5,200,100,50
241,250,2,500,0.5,200,100,50
251,250,2,500,0.5,200,100,50
261,250,2,500,0.5,200,100,50
271,250,2,500,0.5,200,100,50
281,250,2,500,0.5,200,100,50
291,250,2,500,0.5,200,100,50
301,250,2,500,0.5,200,100,50
311,250,2,500,0.5,200,100,50
321,250,2,500,0.5,200,100,50
331,250,2,500,0.5,200,100,50
341,250,2,500,0.5,200,100,50
351,250,2,500,0.5,200,100,50
361,250,2,500,0.5,200,100,50
371,250,2,500,0.5,200,100,50
381,250,2,500,0.5,200,100,50
391,250,2,500,0.5,200,100,50
401,250,2,500,0.5,200,100,50
411,250,2,500,0.5,200,100,50
421,250,2,500,0.5,200,100,50
431,250,2,500,0.5,200,100,50
441,250,2,500,0.5,200,100,50
451,250,2,500,0.5,200,100,50
461,250,2,500,0.5,200,100,50
471,250,2,500,0.5,200,100,50
481,250,2,500,0.5,200,100,50
491,250,2,500,0.5,200,100,50
501,250,2,500,0.5,200,100,50
511,250,2,500,0.5,200,100,50
521,250,2,500,0.5,200,100,50
531,250,2,500,0.5,200,100,50
541,250,2,500,0.5,200,100,50
551,250,2,500,0.5,200,100,50
561,250,2,500,0.5,200,100,50
571,250,2,500,0.5,200,100,50
581,250,2,500,0.5,200,100,50
591,250,2,500,0.5,200,100,50
601,250,2,500,0.5,200,100,50
611,250,2,500,0.5,200,100,50
621,250,2,500,0.5,200,100,50
631,250,2,500,0.5,200,100,50
641,250,2,500,0.5,200,100,50
651,250,2,500,0.5,200,100,50
661,250,2,500,0.5,200,100,50
671,250,2,500,0.5,200,100,50
681,250,2,500,0.5,200,100,50
691,250,2,500,0.5,200,100,50
701,250,2,500,0.5,200,100,50
711,250,2,500,0.5,200,100,50
721,250,2,500,0.5,200,100,50
731,250,2,500,0.5,200,100,50
741,250,2,500,0.5,200,100,50
751,250,2,500,0.5,200,100,50
761,250,2,500,0.5,200,100,50
771,250,2,500,0.5,200,100,50
781,250,2,500,0.5,200,100,50
791,250,2,500,0.5,200,100,50
801,250,2,500,0.5,200,100,50
811,250,2,500,0.5,200,100,50
821,250,2,500,0.5,200,100,50
831,250,2,500,0.5,200,100,50
841,250,2,500,0.5,200,100,50
851,250,2,500,0.5,200,100,50
861,250,2,500,0.5,200,100,50
871,250,2,500,0.5,200,100,50
881,250,2,500,0.5,200,100,50
891,250,2,500,0.5,200,100,50
901,250,2,500,0.5,200,100,50
911,250,2,500,0.5,200,100,50
921,250,2,500,0.5,200,100,50
931,250,2,500,0.5,200,100,50
941,250,2,500,0.5,200,100,50
951,250,2,500,0.5,200,100,50
961,250,2,500,0.5,200,100,50
971,250,2,500,0.5,200,100,50
981,250,2,500,0.5,200,100,50
991,250,2,500,0.5,200,100,50
1001,250,2,500,0.5,200,100,50
1011,268,2,500,0.5,200,100,50
1021,287,2,500,0.5,200,100,50
1031,308,2,500,0.5,200,100,50
1041,330,2,500,0.5,200,100,50
1051,354,2,500,0.5,200,100,50
1061,379,2,500,0.5,200,100,50
1071,406,2,500,0.5,200,100,50
1081,435,2,500,0.5,200,100,50
1091,467,2,500,0.5,200,100,50
1101,500,2,500,0.5,200,100,50
1111,500,2,500,0.5,200,100,50
1121,500,2,500,0.5,200,100,50
1131,500,2,500,0.5,200,100,50
1141,500,2,500,0.5,200,100,50
1151,500,2,500,0.5,200,100,50
1161,500,2,500,0.5,200,100,50
1171,500,2,500,0.5,200,100,50
1181,500,2,500,0.5,200,100,50
1191,500,2,500,0.5,200,100,50
